Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,vegetablescat=1710,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,blue,,fresh,,,,AZUR,null,"STAR
ko44
Very early, purple variety. For heated cultivation, but also outdoor. Bolt resistant, tender, slightly flattish round bulbs.
Tuber colour: blue
Use: fresh"
en,vegetablescat=1710,2,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,blue,,"autumn, storage",,,,BLARIL,null,"KS
ko40
Large blue bulbs for harvest in autumn. Up to 1 kg in weight, tender and tasty. Depending on time of sowin,g for harvest in autumn or for storage. Planting distane 30x30 to 40x60, depending on required size.
Tuber colour: blue
Use: autumn, storage"
en,vegetablescat=1710,3,0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,blue,,fresh,,,,BLARO,null,"ko60
Traditional Swiss blue kohlrabi variety Balanced taste, therefore also ideal for eating raw. Remains tender for a long time and hardly turns woody. Suitable for early sowing.
Tuber colour: blue
Use: fresh"
en,vegetablescat=1710,4,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,white,,fresh,,,,BOCCIA,null,"ko54
Modern, spherical, white variety bred by Sativa. Robust and fast-growing all year round from spring through to autumn. Firm yet tender and less prone to lignification.
Tuber colour: white
Use: fresh"
en,vegetablescat=1710,5,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,white,,fresh,,,,DARIO,null,"KS
  ko52
Compared to Enrico, it develops somewhat flatter tubers with more prolific foliage and takes 3-5 days more before it is ready to harvest. Both varieties are made attractive through their vigorous growth, high yield and lack of woodiness. Variety bred by Sativa.
Tuber colour: white
Use: fresh"
en,vegetablescat=1710,6,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,blue,,"autumn, storage",,,,DYNA,null,"ko48
Light blue kohlrabi for autumn harvesting. Vigorous growth, keeps well. If there is sufficient moisture bulbs will grow quite big, but flesh remains tender. Cultivation similar to Superschmelz.
Tuber colour: blue
Use: autumn, storage"
en,vegetablescat=1710,7,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,white,,fresh,,,,ENRICO,null,"KS
  ko51
White, flat and round variety with medium foliage. Develops fast and suitable for all cultivation periods except for midsummer. Slight tendency to split and to develop a purple color. Variety bred by Sativa.
Tuber colour: white
Use: fresh"
en,vegetablescat=1710,8,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,white,,fresh,,,,LANRO,null,"ko47
White-green, fast growing reliable variety for outdoor cultivation. Does not become woody. Weight of bulbs 200-300 g. Due to short period to maturity, suitable for mixed cropping. Planting distance 25x25 cm.
Tuber colour: white
Use: fresh"
en,vegetablescat=1710,9,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.",,white,,fresh,,,,SELECTION,null,", SUMMER (SAT 23)
 ko53
White outdoor variety with vigorous foliage suitable for summer cultivation. Less likely to split and/or turn purple than other varieties. Plant a little further apart (40x40cm). Variety bred by Sativa.
Tuber colour: white
Use: fresh"
en,vegetablescat=1710,10,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,white,,"autumn, storage",,,,SUPERSCHMELZ,null,"ko42
White, large, but tender kohlrabi, stores well. Slow growth. If sown at the beginning of June the bulbs will grow to 1-1.5 kg in weight. Transplant to 60x40 cm.
Tuber colour: white
Use: autumn, storage"
