Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,vegetablescat=1655,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
en,vegetablescat=1655,2,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",garden pea,,,,Height: 180 cm; ,,,BLAUWSCHOKKER,null,"er34
Very productive and early pea with blue pods, peas greyish. Very decorative and for fresh consumption - but pods themselves not suitable for eating. Purple flowers.
Height: 180 cm
Type: garden pea"
en,vegetablescat=1655,3,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,Wrinkled Peas,,,,Height: 70-75 cm; ,,,BUDDY,null,"er37
New medium early, high-yield variety. The large, sweet-tasting peas are particularly interesting for selling fresh.
Height: 70-75 cm
Type: Wrinkled Peas"
en,vegetablescat=1655,4,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",garden pea,,,,Height: 50-60 cm; ,,,DOUCE,null,"PROVENCE
er31
Low and early garden pea. Does not require a support. White flowers.
Height: 50-60 cm
Type: garden pea"
en,vegetablescat=1655,5,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",sugar pea (autumn sowing),,,,Height: > 200 cm; ,,,FRIEDA,null,"WELTEN
 er58
Vigorous sugar pea for sowing in October. Hardy in most years. Early and large pods. May require cover towards the end of winter (fleece or branch of a fir tree).
Height: > 200 cm
Type: sugar pea (autumn sowing)"
en,vegetablescat=1655,6,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",pea,,,,Height: 50-60 cm; ,,,GLORIOSA,null,"er12
Very early good cropping pea of medium vigour. Produces well, even in less than ideal locations. Very sweet.
Height: 50-60 cm
Type: pea"
en,vegetablescat=1655,7,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,sugar pea,,,,Height: > 200 cm; ,,,NEW,null,"GOLDEN SWEET
er64
High-yield sugar pea with flat, light yellow pods that are easy to find and harvest thanks to their coloring. Violet flowers.
Height: > 200 cm
Type: sugar pea"
en,vegetablescat=1655,8,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,pea,,,,Height: 50-70 cm; ,,,KARINA,null,"er19
Prolific cropper, approx. 60 cm in height, plenty of dark green pods. Early to medium ripening.
Height: 50-70 cm
Type: pea"
en,vegetablescat=1655,9,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,pea,,,,Height: 90 cm; ,,,MAXIGOLT,null,"er13
Produces plenty of sweet, dark green peas. Sow from March onwards, harvest medium to late. Resistant against fusarium fungi type 1 and 2; as well as potato leafroll virus.
Height: 90 cm
Type: pea"
en,vegetablescat=1655,10,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",pea,,,,Height: 70 cm; ,,,MIRACLE,null,"OF KELVEDON
 er18
Early and prolific cropper with plenty of peas per pod. White flowers.
Height: 70 cm
Type: pea"
