Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,vegetablescat=1659,1,1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,,,"for bunching, fresh",,,,AMIVA,null,"ka10
This very early variety bred by Sativa is ready for harvesting after just 100 days (approx.). These long, Amsterdam-type pointed carrots are crunchy, juicy and very tasty. Perfect for bunched harvest and fresh consumption.
Use: for bunching, fresh"
en,vegetablescat=1659,2,1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,,,"for bunching, fresh",,,,AMSTERDAM,null,"2
ka12
Very early variety for first cultivation, under cover (fleece) or outdoors. Used as bunching carrot. Upright resistant foliage. Long, slender roots, quick to colour inside and outside.
Use: for bunching, fresh"
en,vegetablescat=1659,3,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.,,,,"fresh, keep",,,,BERLIKUM,null,"SELECTION (SAT 505)
ka44
High-yield, mid-late variety bred by Sativa. Cylindrical stump carrot with very good flavor and high dry matter content.
Use: fresh, keep"
en,vegetablescat=1659,4,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,,,"fresh, storage",,,,BOLLIN,null,"SG
  ka26
Suitable both for early propagation as well as a carrot for washing and bunching, and later in the year for storage. Pleasant 'rounded' taste, smooth, after washing, reveals its bright orange skin.
Use: fresh, storage"
en,vegetablescat=1659,5,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",,,,"fresh, storage",,,,CHANTENAY,null,"À COEUR ROUGE 2
 ka52
Conically-shaped, rather short carrot of the Chantenay type. 12-16 cm in length, good colour inside. Aromatic, slightly tart taste. For medium to early harvest, 130-140 days to maturity.
Use: fresh, storage"
en,vegetablescat=1659,6,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.
Seed tape (portion content: 1 seed tape of 5m): This item is available in a special form for simple gardening. Here the seeds are fixed at appropriate distances between two thin pieces of carrier paper. To sow, this is then buried directly in the ground. The annoying job of separating or pricking out seedlings is no longer necessary. Whatever the variety, there are models for balcony planters, pots, or a row seeder.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,,,"fresh, storage",,,,DOLCIVA,null,"KS
  ka23
Juicy variety, bred by Sativa with an emphasis on taste. Good storage, but also excellent for fresh consumption, harvest in summer. Time to maturity 120 days. Skin not likely to crack.
Use: fresh, storage"
en,vegetablescat=1659,7,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.,,,,"fresh, keep, processing",,,,FLAKKEE,null,", EARLY (SAT 506)
ka46
Medium-late variety of carrot. Tapering shape with a slightly blunt tip. Selected for flavor and high dry-matter content. Versatile, this carrot is ideal for selling fresh, for processing and for storage.
Use: fresh, keep, processing"
en,vegetablescat=1659,8,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",,,,storage,,,,GIANTS,null,"OF COLMAR 2
 ka50
Slow growing variety for storage, Red Giant type. For sowing in May.
Use: storage"
en,vegetablescat=1659,9,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,,,storage,,,,GNIFF,null,"ka51
Slow growing variety for storage, originally from Ticino. Purple outer skin, white inside, very attractive, but colour loses intensity during cooking. Somewhat intolerant of wet conditions.
Use: storage"
en,vegetablescat=1659,10,null,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,,,storage,,,,JAUNE,null,"DU DOUBS
  ka71
Traditional variety from the Doubs region of eastern France. Long tapered yellow carrots with green shoulder. Slow growth, hence sow as early as possible. Stores well.
Use: storage"
