Category,,ID,URL,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Description
bioverita,,1,https://www.sativa.bio/en/amabile-ks-bioverita-ko17,0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",early variety,,,,,,,AMABILE,"KS
  ko17
Very early variety with a low growth habit and a short harvest window. Forms firm, white, tasty flowers. High proportion of 8-to-a-box heads. Ricing resistant.
Type: early variety"
bioverita,,2,https://www.sativa.bio/en/amiva-bioverita-ka10,1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,,,"for bunching, fresh",,,,AMIVA,"ka10
This very early variety bred by Sativa is ready for harvesting after just 100 days (approx.). These long, Amsterdam-type pointed carrots are crunchy, juicy and very tasty. Perfect for bunched harvest and fresh consumption.
Use: for bunching, fresh"
bioverita,,3,https://www.sativa.bio/en/athos-ks-bioverita-se52,0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Primed seeds: During priming, the germination process is activated for faster and more uniform emergence. The priming effect is only maintained for a few weeks. This seed should be stored cool (approx. 5°C), dry and dark. The primed seeds in our range are primed using a biocompatible technique.",white celeriac,,,,,,,ATHOS,"KS
  se52
Pale-skinned celeriac with pronounced flavour. Highly resistant to bolting so suitable for early as well as normal cultivation. Tightly-knit, narrow root system facilitates harvesting and cleaning. For making bunches, selling fresh and storage. Variety bred by Sativa.
Type: white celeriac"
bioverita,,4,https://www.sativa.bio/en/blaugruener-winter-avano-ks-bioverita-la62,0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.",winter,,,,,,,WINTER,"AVANO KS
 la62
Improved version of Blue-Green Winter variety, long, strong and upright dark-green foliage, good length of stem. Tolerates frost well.
Type: winter"
bioverita,,5,https://www.sativa.bio/en/boccia-bioverita-ko54,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,white,,fresh,,,,BOCCIA,"ko54
Modern, spherical, white variety bred by Sativa. Robust and fast-growing all year round from spring through to autumn. Firm yet tender and less prone to lignification.
Tuber colour: white
Use: fresh"
bioverita,,6,https://www.sativa.bio/en/bogus-fruchta-ks-bioverita-to08,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.",regular fruit,,4 cm,,,,,BOGUS,"FRUCHTA KS
 to08
Compact, bush-forming tomato plant with a height of up to 80 cm, ideal for growing on a balcony. Delicious, firm fruits. Regularly produces fresh, smaller-sized fruits in a compact space.
Ø fruit: 4 cm
Type: regular fruit"
bioverita,,7,https://www.sativa.bio/en/bollin-sg-bioverita-ka26,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,,,"fresh, storage",,,,BOLLIN,"SG
  ka26
Suitable both for early propagation as well as a carrot for washing and bunching, and later in the year for storage. Pleasant 'rounded' taste, smooth, after washing, reveals its bright orange skin.
Use: fresh, storage"
bioverita,,8,https://www.sativa.bio/en/cleopha-ks-bioverita-gu40,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.",cucumber for glasshouse,,,,,,,CLEOPHA,"KS
 gu40
Greenhouse cucumber with long, smooth, dark green fruits and low tendency to cracking. Strong-growing, pure-female / seedless cucumber, robust even under mediocre growing conditions. Long harvest period. Does not turn bitter.
Type: cucumber for glasshouse"
bioverita,,9,https://www.sativa.bio/en/cubo-orange-rs-bioverita-pa29,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.","elongated, blocky",,,,,,250 g.,CUBO,"ORANGE RS
 pa29
Heavy, thick-skinned, broad and chunky professional variety from Reinsaat in Austria. Color changes from dark green to deep orange. Good and very fruity flavor. Fruit weight: 250 g.
Fruit type: elongated, blocky"
bioverita,,10,https://www.sativa.bio/en/damaun-ks-bioverita-zu58,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",sweet corn,,,,,,,DAMAUN,"KS
  zu58
Extremely sweet, bred by Sativa. Early sweet corn with large, yellow cobs, which are ready for harvesting 95 days after sowing.
Type: sweet corn"
bioverita,,11,https://www.sativa.bio/en/dario-ks-bioverita-ko52,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,white,,fresh,,,,DARIO,"KS
  ko52
Compared to Enrico, it develops somewhat flatter tubers with more prolific foliage and takes 3-5 days more before it is ready to harvest. Both varieties are made attractive through their vigorous growth, high yield and lack of woodiness. Variety bred by Sativa.
Tuber colour: white
Use: fresh"
bioverita,,12,https://www.sativa.bio/en/dolciva-ks-bioverita-ka23,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.
Seed tape (portion content: 1 seed tape of 5m): This item is available in a special form for simple gardening. Here the seeds are fixed at appropriate distances between two thin pieces of carrier paper. To sow, this is then buried directly in the ground. The annoying job of separating or pricking out seedlings is no longer necessary. Whatever the variety, there are models for balcony planters, pots, or a row seeder.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,,,"fresh, storage",,,,DOLCIVA,"KS
  ka23
Juicy variety, bred by Sativa with an emphasis on taste. Good storage, but also excellent for fresh consumption, harvest in summer. Time to maturity 120 days. Skin not likely to crack.
Use: fresh, storage"
bioverita,,13,https://www.sativa.bio/en/dottenfelder-dauer-ks-bioverita-ko86,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",white cabbage,,,storage,,,,DOTTENFELDER,"DAUER KS
  ko86
Late variety with medium-sized, solid heads which keep exceptionally well. Slow to develop. Outer leaves relatively small, inner stem short.
Use: storage
Type: white cabbage"
bioverita,,14,https://www.sativa.bio/en/enrico-ks-bioverita-ko51,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,white,,fresh,,,,ENRICO,"KS
  ko51
White, flat and round variety with medium foliage. Develops fast and suitable for all cultivation periods except for midsummer. Slight tendency to split and to develop a purple color. Variety bred by Sativa.
Tuber colour: white
Use: fresh"
bioverita,,15,https://www.sativa.bio/en/freezo-ks-bioverita-la63,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.",winter,,,,,,,FREEZO,"KS
 la63
Dark, later winter leek with upright growth and without bulb formation. Stalk length approx. 17 cm. Due to its good hardiness it is suitable for over-wintering and harvesting in spring.
Type: winter"
bioverita,,16,https://www.sativa.bio/en/gesche-sg-bioverita-ra11,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,red,,,"Saat: gut from Northern Germany with dark-red, round beets. Suitable for storage but can also be harvested as beet greens.; ",,,GESCHE,"SG
  ra11
High-yield and homogeneous organic variety by Saat:gut from Northern Germany with dark-red, round beets. Suitable for storage but can also be harvested as beet greens.
Colour: red"
bioverita,,17,https://www.sativa.bio/en/haldor-ks-bioverita-la44,0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.",autumn,,,,,,,HALDOR,"KS
 la44
New selection for harvesting in autumn, long stems, dark green, upright foliage. Less prone to bulb-forming.
Type: autumn"
bioverita,,18,https://www.sativa.bio/en/inizia-sat-28-bioverita-zu27,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,medium green,,,,cylindrical,,NEW,"INIZIA (SAT 28)
 zu27
Early high-yield Sativa variety with a very long harvest window. Slightly sweet, nutty and harmonious taste.
Colour: medium green
Fruit shape: cylindrical"
bioverita,,19,https://www.sativa.bio/en/kolibri-bioverita-ks92,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Pelleted seeds (pills). The seeds are coated with mineral fillers. The aim is to standardise size and shape to facilitate (technical) sowing. The biocompatible pills are sold per piece.","spring, summer",green,,,,,,KOLIBRI,"ks92
Small plants with a sturdy head. Leaf structure and taste reminiscent of Batavia. Green leaves with red specks. The plants can be planted closer together than normal. For the entire outdoor growing season.
Colour: green
Type: spring, summer"
