Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,vegetablescat=1680,1,0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,,round,,AILSA,null,"CRAIG
zw17
Very large, round, to broadish-round Spanish onion for summer. If propagated early enough will provide a high yield. For this, sow under cover in January and transplant outdoors in April-May. Can be stored until December.
Fruit shape: round"
en,vegetablescat=1680,2,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,,,,,round,,FIOLA,null,"KS (SAT15)
zw50
Early variety with a very round shape and a fine neck. American-style onions for medium-long storage. Firm and bronze-colored shell. Early ripening, which is advantageous if there is likelihood of late fungus. Bred by Sativa.
Fruit shape: round"
en,vegetablescat=1680,3,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",,,,,,flat-round,,FROM,null,"STUTTGART
 zw12
Flattish round-shaped variety of golden-yellow colour, keeps well. Good for making onion-plaits. Can be directly sown or planted from sets.
Fruit shape: flat-round"
en,vegetablescat=1680,4,null,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Seed tape (portion content: 1 seed tape of 5m): This item is available in a special form for simple gardening. Here the seeds are fixed at appropriate distances between two thin pieces of carrier paper. To sow, this is then buried directly in the ground. The annoying job of separating or pricking out seedlings is no longer necessary. Whatever the variety, there are models for balcony planters, pots, or a row seeder.",,,,,,,,ISHIKURA,null,"LONG WHITE
zw19
Does not grow onion-bulbs, but instead long, thick shafts. Suitable for bunching. If grown overwinter, ready in spring; if sown in summer, ready in autumn. Tolerant against thrip infestations. Very frost-hardy."
en,vegetablescat=1680,5,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,,,,,high-round,,PEAR,null,"SHAPED
 zw20
Traditional, yellow-skinned variety from Franconia. Can be directly sown or planted from sets. Bulbs elongated, somewhat reminiscent of a pear-shape. Sweeter than most other Spanish onions.
Fruit shape: high-round"
en,vegetablescat=1680,6,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.,,,,,,flat-round,,RED,null,"BARON
zw30
This round to highly round, bolt-proof variety has a dark red skin and is better to store compared to other red varieties. Its slightly piquant taste makes it versatile to use and it produces a good yield when harvested medium early.
Fruit shape: flat-round"
en,vegetablescat=1680,7,0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,,round,,RIJNSBURG,null,"SELECTION (SAT24)
zw58
Round, slightly angular onion. Cross of an old flat variety with a traditional pear-shaped variety. Almost the same taste as shallots. Selected for high dry matter, therefore long shelf life. Good mildew resistance.
Fruit shape: round"
en,vegetablescat=1680,8,0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.,,,,,,round,,RIJNSBURG,null,"SELECTION (SAT25)
zw56
A variety bred by Sativa. Good resistance to mildew. Globe-shaped, productive, even-coloured, light brown onion with good skin quality. Excellent storage capacity to April. For direct sowing and planting.
Fruit shape: round"
en,vegetablescat=1680,9,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.,,,,,,round,,RIJNSBURG,null,"SELECTION SATIVA
zw52
Onion bred by Sativa, for direct sowing in spring. Medium to late maturing, ball-shaped, productive variety of the Rijnsburg type. Excellent for storage, will keep until April even when stored naturally.
Fruit shape: round"
en,vegetablescat=1680,10,0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.
Seed tape (portion content: 1 seed tape of 5m): This item is available in a special form for simple gardening. Here the seeds are fixed at appropriate distances between two thin pieces of carrier paper. To sow, this is then buried directly in the ground. The annoying job of separating or pricking out seedlings is no longer necessary. Whatever the variety, there are models for balcony planters, pots, or a row seeder.",,,,,,round,,RIJNSBURGER,null,"5 BINGO
zw13
Light brown onion of Dutch selection, proved to be a reliable variety with organic growers for many years. Uniform, with good skin quality. Excellent storage capacity to April. For direct sowing and planting.
Fruit shape: round"
en,vegetablescat=1680,11,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,,round,,ROBELJA,null,"zw16
Dark red, solid-coloured onion. Round to high round. Vigorous and robust selection. For fresh sales and for storage. Only suitable for direct sowing.
Fruit shape: round"
en,vegetablescat=1680,12,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,,,,,flat-round,,ROUGE,null,"DE GENÈVE
 zw11
Flattish round-shaped, medium-late variety with dark-purple colour. Well suited for making onion-plaits. Can be stored until January. Will mature more slowly compared to yellow-skinned varieties.
Fruit shape: flat-round"
en,vegetablescat=1680,13,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,,,,,flat-round,,,null,
