Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,prospecierara,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
en,prospecierara,2,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",,light green,,,,cylindrical,,ALBERELLO,null,"DI SARZANA
 zu26
A traditional courgette-variety from Italy, fruit light-green coloured, slightly marbled. Pleasant taste, nicely smooth flesh. Open growth habit, high-yielding.
Colour: light green
Fruit shape: cylindrical"
en,prospecierara,3,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",,white,,,,,,ALBINA,null,"VEREDUNA
 ra17
White-fleshed, original variety with a sweet and spicy taste. Leaves can be cooked like spinach for eating. Suitable for keeping after the leaves have wilted. Due to a lack of the dye betanin, hands and kitchen stay clean.
Colour: white"
en,prospecierara,4,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",for peeling,,7 cm,,,,,AMISH,null,"PASTA
 to88
Tall-growing late-cropping variety. Very aromatic fruit for making sauces, but also for fresh consumption. Large, elongated fruit of somewhat variable shape.
Ø fruit: 7 cm
Type: for peeling"
en,prospecierara,5,null,0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",,,,,,,,AQUADULCE,null,"bo92
Thick broad beans with large greenish seeds, which turn reddish brown when ripe. Early to medium harvest, vigorous growth, with long green pods, containing 7-9 seeds each. Flowers are white."
en,prospecierara,6,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.","early summer, spring",green,,,,,,ATTRACTION,null,"ks23
Butterhead variety. Good for early summer cultivation. Large light green heads. Tender leaves. In cool locations, can be grown in summer too.
Colour: green
Type: early summer, spring"
en,prospecierara,7,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",spring,green,,,,,,AUGSPURGER,null,"ks11
Early variety of multi-stemmed lettuce with somewhat slow growth. As no head is formed, the densely upright growth (when cut) will easily separate into individual, same-size leaves. Tender. Slow to bolt.
Colour: green
Type: spring"
en,prospecierara,8,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",regular fruit,,6 cm,,,,,AURIGA,null,"to12
Tomato for outdoor cultivation, round, split-free fruit, tasty. Bright orange-coloured fruit, decorative.
Ø fruit: 6 cm
Type: regular fruit"
en,prospecierara,9,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",ball shaped,,,,,,,BAMBINO,null,"au21
Non-vigorous growth habit, multiple small, ball-shaped purple 'cocktail' aubergines.
Fruit type: ball shaped"
en,prospecierara,10,0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",overwinter,red,,,,,,BAQUIEU,null,"ks70
Red, smallish head. Suitable for cultivation over winter, or for sowing in early spring.
Colour: red
Type: overwinter"
