Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,vegetablescat=1666,1,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",flat-round,,,,,,,BELLPEPPER,null,"RED
 pa80
Easy-growing variety, fruit 8 cm wide and 5 cm tall, some visual similarity to beefsteak tomatoes. Flesh thick and aromatic. Colour turns from dark-green to bright red during ripening.
Fruit type: flat-round"
en,vegetablescat=1666,2,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,null,mostly pointed,,,,,,,CHILI,null,"MIXTURE
pa50
Blend of a large variety of colours and shapes. The colours of the fruits vary from intense yellow to orange, brown, and bright red. Medium heat. Chili Mix is well suited for cultivation outdoors.
Fruit type: mostly pointed"
en,vegetablescat=1666,3,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.","pointed, large",,,,,,,CORNO,null,"DI BUE GIALLO
 pa64
Very vigorously growing, mild and tall pepper with large, long, pointed fruit, which change from green to yellow during ripening.
Fruit type: pointed, large"
en,vegetablescat=1666,4,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.","pointed, large",,,,,,,CORNO,null,"DI BUE ROSSO
 pa63
Tasty and good cropping variety. Very vigorously growing, mild and tall pepper with large, long, pointed fruit, which change from dark-green to red during ripening.
Fruit type: pointed, large"
en,vegetablescat=1666,5,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.","elongated, blocky",,,,,,250 g.,CUBO,null,"ORANGE RS
 pa29
Heavy, thick-skinned, broad and chunky professional variety from Reinsaat in Austria. Color changes from dark green to deep orange. Good and very fruity flavor. Fruit weight: 250 g.
Fruit type: elongated, blocky"
en,vegetablescat=1666,6,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,null,"long, narrow",,,,,,,DE,null,"CAYENNE
pa43
Produces small, hot, 10-12 cm long fruit, which turn from dark-green to bright red during ripening. Can be grown outdoors in mild climatic conditions.
Fruit type: long, narrow"
en,vegetablescat=1666,7,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,null,"pointed, tip blunted",,,,,,,JALAPENO,null,"'RUBEN' RS
pa44
One of the most popular chili plants. Fruit 7 cm long, juicy and thick skinned. Pungent, but pleasant heat. The unripe green fruit is often picked. After picking they will turn a little sweeter.
Fruit type: pointed, tip blunted"
en,vegetablescat=1666,8,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",blocky,,,,,,,JUMBO,null,"pa25
Early-medium variety with large, heavy, square-shaped fruit, which changes colour during ripening from dark-green to bright red. Taste mild and sweet. Can be grown outdoors in mild climatic conditions.
Fruit type: blocky"
en,vegetablescat=1666,9,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.","pointed, slightly larger",,,,,,,LADY,null,"LOU KS
 pa70
Shiny, orange and slim pointed pepper bred at the Lake Konstanz. Sweet and fruity flavor with few seeds, suitable for snacking. The low weight of the individual peppers is offset by their high number.
Fruit type: pointed, slightly larger"
en,vegetablescat=1666,10,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.","Pointed, slender",,,,,,,LEMON,null,"DROP
 pa45
These citrusy hot chillies are thin-walled, have hardly any seeds and ripen from green to pale yellow. They are moderately hot and can be used fresh in salads. Large, well-branching, high-yielding chilli variety.
Fruit type: Pointed, slender"
